race_name,ppt_gender,distance_miles,date,med_time
Black Hills 100,F,18.64,2019-06-28,4.864125694444444
Black Hills 100,F,18.64,2021-06-25,4.514166666666667
Black Hills 100,F,18.64,2022-06-24,4.493333333333334
Black Hills 100,F,18.64,2023-06-23,5.010277777777778
Black Hills 100,F,31.07,2019-06-28,9.026255277777778
Black Hills 100,F,31.07,2021-06-25,7.947222222222223
Black Hills 100,F,31.07,2022-06-24,8.283055555555556
Black Hills 100,F,31.07,2023-06-23,7.349583333333333
Black Hills 100,F,50.0,2019-06-28,13.7184925
Black Hills 100,F,50.0,2021-06-25,12.847777777777777
Black Hills 100,F,50.0,2022-06-24,13.802916666666667
Black Hills 100,F,50.0,2023-06-23,12.45861111111111
Black Hills 100,F,100.0,2019-06-28,31.989088611111107
Black Hills 100,F,100.0,2021-06-25,32.820277777777775
Black Hills 100,F,100.0,2022-06-24,32.445138888888884
Black Hills 100,F,100.0,2023-06-23,33.76694444444445
Black Hills 100,M,18.64,2019-06-28,4.238676111111111
Black Hills 100,M,18.64,2021-06-25,3.9608333333333334
Black Hills 100,M,18.64,2022-06-24,3.845555555555555
Black Hills 100,M,18.64,2023-06-23,3.932222222222222
Black Hills 100,M,31.07,2019-06-28,7.738121944444445
Black Hills 100,M,31.07,2021-06-25,7.2122222222222225
Black Hills 100,M,31.07,2022-06-24,7.453888888888889
Black Hills 100,M,31.07,2023-06-23,7.161388888888888
Black Hills 100,M,50.0,2019-06-28,13.343242777777778
Black Hills 100,M,50.0,2021-06-25,12.68638888888889
Black Hills 100,M,50.0,2022-06-24,12.344166666666666
Black Hills 100,M,50.0,2023-06-23,12.296111111111111
Black Hills 100,M,100.0,2019-06-28,30.44215847222222
Black Hills 100,M,100.0,2021-06-25,29.458194444444448
Black Hills 100,M,100.0,2022-06-24,31.283472222222212
Black Hills 100,M,100.0,2023-06-23,30.77513888888888
Black Mountain Trail Races,F,13.1,2021-06-19,3.4269444444444446
Black Mountain Trail Races,F,13.1,2022-06-18,3.1129166666666666
Black Mountain Trail Races,F,13.1,2023-06-17,3.6030555555555552
Black Mountain Trail Races,F,15.53,2019-06-29,4.1315277777777775
Black Mountain Trail Races,F,15.53,2021-06-19,3.6008333333333336
Black Mountain Trail Races,F,15.53,2022-06-18,3.6077777777777778
Black Mountain Trail Races,F,15.53,2023-06-17,3.6705555555555547
Black Mountain Trail Races,F,31.07,2019-06-29,7.920416666666667
Black Mountain Trail Races,F,31.07,2021-06-19,7.3163888888888895
Black Mountain Trail Races,F,31.07,2022-06-18,7.489722222222222
Black Mountain Trail Races,F,31.07,2023-06-17,7.1069444444444425
Black Mountain Trail Races,M,13.1,2021-06-19,3.001111111111111
Black Mountain Trail Races,M,13.1,2022-06-18,2.765138888888889
Black Mountain Trail Races,M,13.1,2023-06-17,2.932777777777778
Black Mountain Trail Races,M,15.53,2019-06-29,3.2634722222222217
Black Mountain Trail Races,M,15.53,2021-06-19,3.308333333333333
Black Mountain Trail Races,M,15.53,2022-06-18,3.354444444444445
Black Mountain Trail Races,M,15.53,2023-06-17,3.457777777777778
Black Mountain Trail Races,M,31.07,2019-06-29,7.689444444444445
Black Mountain Trail Races,M,31.07,2021-06-19,6.818333333333333
Black Mountain Trail Races,M,31.07,2022-06-18,6.693611111111111
Black Mountain Trail Races,M,31.07,2023-06-17,7.129722222222223
Blackfoot Ultra,F,15.53,2022-05-28,3.5816666666666666
Blackfoot Ultra,F,31.07,2019-05-25,7.296111111111111
Blackfoot Ultra,F,31.07,2022-05-28,7.4194444444444425
Blackfoot Ultra,F,31.07,2023-05-27,6.050833333333333
Blackfoot Ultra,F,50.0,2019-05-25,10.516944444444444
Blackfoot Ultra,F,50.0,2022-05-28,10.499583333333332
Blackfoot Ultra,F,62.14,2019-05-25,12.049444444444445
Blackfoot Ultra,F,62.14,2022-05-28,13.465833333333334
Blackfoot Ultra,M,15.53,2022-05-28,2.708055555555555
Blackfoot Ultra,M,31.07,2019-05-25,5.981388888888889
Blackfoot Ultra,M,31.07,2022-05-28,6.3341666666666665
Blackfoot Ultra,M,31.07,2023-05-27,4.541944444444444
Blackfoot Ultra,M,50.0,2019-05-25,10.069444444444445
Blackfoot Ultra,M,50.0,2022-05-28,10.428333333333335
Blackfoot Ultra,M,50.0,2023-05-27,9.684722222222224
Blackfoot Ultra,M,62.14,2019-05-25,12.209305555555556
Blackfoot Ultra,M,62.14,2022-05-28,11.978333333333333
Blackfoot Ultra,M,62.14,2023-05-27,12.383888888888889
Blackout Night Runs,F,3.11,2019-06-07,1.0381944444444444
Blackout Night Runs,F,3.11,2020-09-04,0.9005555555555556
Blackout Night Runs,F,3.11,2021-06-11,1.021388888888889
Blackout Night Runs,F,3.11,2022-06-10,1.0133333333333332
Blackout Night Runs,F,3.11,2023-06-09,1.0266666666666666
Blackout Night Runs,F,8.08,2019-06-07,1.654722222222222
Blackout Night Runs,F,8.08,2020-09-04,1.6569444444444448
Blackout Night Runs,F,8.08,2021-06-11,1.88625
Blackout Night Runs,F,8.08,2022-06-10,1.7522222222222221
Blackout Night Runs,F,8.08,2023-06-09,1.8702777777777781
Blackout Night Runs,F,16.78,2019-06-07,3.5486111111111103
Blackout Night Runs,F,16.78,2021-06-11,3.6709722222222223
Blackout Night Runs,F,16.78,2022-06-10,3.6065277777777776
Blackout Night Runs,F,16.78,2023-06-09,3.52375
Blackout Night Runs,M,3.11,2019-06-07,0.7559722222222222
Blackout Night Runs,M,3.11,2020-09-04,0.8325
Blackout Night Runs,M,3.11,2021-06-11,0.7715277777777778
Blackout Night Runs,M,3.11,2022-06-10,0.7799999999999999
Blackout Night Runs,M,3.11,2023-06-09,0.8038888888888888
Blackout Night Runs,M,8.08,2019-06-07,1.5513888888888885
Blackout Night Runs,M,8.08,2020-09-04,1.5522222222222222
Blackout Night Runs,M,8.08,2021-06-11,1.7197222222222224
Blackout Night Runs,M,8.08,2022-06-10,1.506388888888889
Blackout Night Runs,M,8.08,2023-06-09,1.4216666666666666
Blackout Night Runs,M,16.78,2019-06-07,3.3386111111111108
Blackout Night Runs,M,16.78,2021-06-11,3.0909722222222213
Blackout Night Runs,M,16.78,2022-06-10,3.6425
Blackout Night Runs,M,16.78,2023-06-09,2.9452777777777777
Blood Root Ultra,F,10.0,2022-05-04,2.781111111111111
Blood Root Ultra,F,10.0,2023-05-08,2.5722222222222224
Blood Root Ultra,F,30.0,2019-05-10,8.196527777777776
Blood Root Ultra,F,31.07,2022-05-04,8.240555555555554
Blood Root Ultra,F,31.07,2023-05-08,8.5925
Blood Root Ultra,F,50.0,2021-05-06,13.752222222222223
Blood Root Ultra,F,50.0,2022-05-04,11.883333333333333
Blood Root Ultra,F,50.0,2023-05-08,12.260833333333332
Blood Root Ultra,M,10.0,2022-05-04,2.6380555555555554
Blood Root Ultra,M,10.0,2023-05-08,2.370833333333333
Blood Root Ultra,M,30.0,2019-05-10,7.375555555555556
Blood Root Ultra,M,31.07,2022-05-04,8.12013888888889
Blood Root Ultra,M,31.07,2023-05-08,7.929444444444444
Blood Root Ultra,M,50.0,2021-05-06,13.81
Blood Root Ultra,M,50.0,2022-05-04,12.90861111111111
Blood Root Ultra,M,50.0,2023-05-08,12.617222222222221
Blood Root Ultra,M,100.0,2022-05-04,35.066805555555554
Blue Mountain Trail Race,F,18.64,2020-09-20,3.8297222222222222
Blue Mountain Trail Race,F,18.64,2021-09-30,3.870277777777778
Blue Mountain Trail Race,F,18.64,2022-09-18,3.61125
Blue Mountain Trail Race,F,18.64,2023-05-21,3.9869444444444446
Blue Mountain Trail Race,M,18.64,2020-09-20,3.2548611111111114
Blue Mountain Trail Race,M,18.64,2021-09-30,3.194722222222222
Blue Mountain Trail Race,M,18.64,2022-09-18,3.294166666666667
Blue Mountain Trail Race,M,18.64,2023-05-21,3.334305555555555
Box Canyon Trail Races,F,10.0,2020-08-01,2.9811111111111113
Box Canyon Trail Races,F,10.0,2021-07-24,2.839722222222222
Box Canyon Trail Races,F,10.0,2022-07-23,2.7323138888888887
Box Canyon Trail Races,F,10.0,2023-07-22,2.8526027777777774
Box Canyon Trail Races,F,18.64,2020-08-01,4.643055555555555
Box Canyon Trail Races,F,18.64,2021-07-24,4.6033333333333335
Box Canyon Trail Races,F,18.64,2022-07-23,5.454602777777778
Box Canyon Trail Races,F,18.64,2023-07-22,5.568036666666667
Box Canyon Trail Races,M,10.0,2020-08-01,2.5302777777777776
